id,name,tag_line,logo,image,description,address,tin_no,status,is_deleted,created_on,updated_on,closing_time,opening_time,cost_for_two,delivery_time,minimum_order
84,           Delish BBQ         ,"North Indian, Chinese, Momos",images/DVEgVPXs.jpg,images/DVEgVPXs.jpg,"North Indian, Chinese, Momos","                                                 Sector 49, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,11:00,200,45,99
85,           Home Cafe         ,"Bakery, North Indian, Chinese",images/eoPRQNwy.jpg,images/eoPRQNwy.jpg,"Bakery, North Indian, Chinese","                                                 Sector 63, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,10:00,150,45,99
86,           Choudhary Dhaba         ,North Indian,images/EvjONePv.jpg,images/EvjONePv.jpg,North Indian,"                                                 Sector 62, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,11:00,150,30,50
87,           Chaska 18         ,"Chinese, Rolls, North Indian, Fast Food, Momos, Beverages",images/pzhmMpxS.jpg,images/pzhmMpxS.jpg,"Chinese, Rolls, North Indian, Fast Food, Momos, Beverages","                                                 Sector 2, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,7:00,150,30,50
88,           Tossin Pizza         ,"Pizza, Italian",images/rBulSWzj.jpg,images/rBulSWzj.jpg,"Pizza, Italian","                                                 Sector 110, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,9:00,400,54,199
89,           Foodelicious         ,"North Indian, Chinese, Mughlai, Momos",images/xRnQQvwe.jpg,images/xRnQQvwe.jpg,"North Indian, Chinese, Mughlai, Momos","                                                 Sector 62, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,10:00,200,50,0
90,           Burger Singh         ,"Fast Food, Burger",images/jgTJNoZE.jpg,images/jgTJNoZE.jpg,"Fast Food, Burger","                                                 Sector 22, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,10:00,150,45,99
91,           Ayush Restaurant         ,"North Indian, Bakery",images/MNeziMgZ.jpg,images/MNeziMgZ.jpg,"North Indian, Bakery","                                                 Sector 25, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,35,99
92,           Chandni Chowk Ke Mashoor Paranthe         ,North Indian,images/UXfYPPrF.jpg,images/UXfYPPrF.jpg,North Indian,"                                                 Sector 49, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,11:00,50,45,50
93,           Wok N Biryani         ,"North Indian, Chinese, Fast Food",images/jPKMOfBg.jpg,images/jPKMOfBg.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 19, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,45,50
94,           Barfi         ,"North Indian, South Indian, Chinese, Street Food",images/PMrGwZJz.jpg,images/PMrGwZJz.jpg,"North Indian, South Indian, Chinese, Street Food","                                                 Sector 63, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,10:00,200,50,50
95,           Lip Lock         ,"North Indian, South Indian, Chinese, Street Food",images/hPawgGXD.jpg,images/hPawgGXD.jpg,"North Indian, South Indian, Chinese, Street Food","                                                 Sector 62, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,11:00,150,45,50
96,           KFC         ,"Burger, Fast Food",images/OiOtqkuy.jpg,images/OiOtqkuy.jpg,"Burger, Fast Food","                                                 Sector 62, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,30,50
97,           HealthBowl         ,"Fast Food, Healthy Food, Salad",images/MFKNlzTO.jpg,images/MFKNlzTO.jpg,"Fast Food, Healthy Food, Salad",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,10:00,200,45,50
98,           Thali 59         ,"North Indian, Mughlai, Chinese",images/NXwrRFLc.jpg,images/NXwrRFLc.jpg,"North Indian, Mughlai, Chinese","                                                 Sector 49, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,100,30,50
99,           Chanakya Food Street         ,"North Indian, Chinese, Fast Food",images/DwLdSblm.jpg,images/DwLdSblm.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 45, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,50,99
100,           Wat-a-Burger!         ,"Burger, Fast Food, Beverages",images/PlVMRmmo.jpg,images/PlVMRmmo.jpg,"Burger, Fast Food, Beverages","                                                 Sector 12, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,10:00,200,50,99
101,           Lumbini Food Point         ,"North Indian, Chinese",images/XXdmUolK.jpg,images/XXdmUolK.jpg,"North Indian, Chinese","                                                 Sector 41, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,10:00,150,30,99
102,           Petoo         ,"North Indian, Rolls, Chinese, Continental, Fast Food",images/PLJcLoCQ.jpg,images/PLJcLoCQ.jpg,"North Indian, Rolls, Chinese, Continental, Fast Food","                                                 Sector 127, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,45,50
103,           Malabar Junction         ,"Kerala, South Indian, North Indian, Chinese, Seafood, Desserts, Beverages",images/howllnaJ.jpg,images/howllnaJ.jpg,"Kerala, South Indian, North Indian, Chinese, Seafood, Desserts, Beverages",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,9:00,150,45,50
104,           Burger Singh         ,"Fast Food, Burger",images/FDvxqRXY.jpg,images/FDvxqRXY.jpg,"Fast Food, Burger",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,10:00,150,45,99
105,           Ayush Restaurant         ,"North Indian, Bakery",images/xNIveNmX.jpg,images/xNIveNmX.jpg,"North Indian, Bakery","                                                 Sector 110, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,8:00,150,35,99
106,           Chandni Chowk Ke Mashoor Paranthe         ,North Indian,images/OHjaOfSL.jpg,images/OHjaOfSL.jpg,North Indian,"                                                 Sector 12, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,10:00,50,45,50
107,           Wok N Biryani         ,"North Indian, Chinese, Fast Food",images/ENOLhmPO.jpg,images/ENOLhmPO.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 26, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,8:00,150,45,50
108,           Barfi         ,"North Indian, South Indian, Chinese, Street Food",images/dHwAYORV.jpg,images/dHwAYORV.jpg,"North Indian, South Indian, Chinese, Street Food","                                                 Sector 41, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,10:00,200,50,50
109,           Lip Lock         ,"North Indian, South Indian, Chinese, Street Food",images/KVKkqfyr.jpg,images/KVKkqfyr.jpg,"North Indian, South Indian, Chinese, Street Food","                                                 Sector 127, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,45,50
110,           KFC         ,"Burger, Fast Food",images/qKLprIqL.jpg,images/qKLprIqL.jpg,"Burger, Fast Food","                                                 Sector 63, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,11:00,200,30,50
111,           HealthBowl         ,"Fast Food, Healthy Food, Salad",images/RJcbdFfv.jpg,images/RJcbdFfv.jpg,"Fast Food, Healthy Food, Salad",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,45,50
112,           Thali 59         ,"North Indian, Mughlai, Chinese",images/gvBvfpfx.jpg,images/gvBvfpfx.jpg,"North Indian, Mughlai, Chinese",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,100,30,50
113,           Chanakya Food Street         ,"North Indian, Chinese, Fast Food",images/Pfmuotku.jpg,images/Pfmuotku.jpg,"North Indian, Chinese, Fast Food",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,50,99
114,           Wat-a-Burger!         ,"Burger, Fast Food, Beverages",images/fEdsAYuI.jpg,images/fEdsAYuI.jpg,"Burger, Fast Food, Beverages",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,50,99
115,           Lumbini Food Point         ,"North Indian, Chinese",images/DWxaSEwi.jpg,images/DWxaSEwi.jpg,"North Indian, Chinese",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,30,99
116,           Petoo         ,"North Indian, Rolls, Chinese, Continental, Fast Food",images/hjsuzSXI.jpg,images/hjsuzSXI.jpg,"North Indian, Rolls, Chinese, Continental, Fast Food",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,45,50
117,           Malabar Junction         ,"Kerala, South Indian, North Indian, Chinese, Seafood, Desserts, Beverages",images/HnoYGKKh.jpg,images/HnoYGKKh.jpg,"Kerala, South Indian, North Indian, Chinese, Seafood, Desserts, Beverages",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,45,50
118,           Leaf n Loaf         ,"Salad, Continental, Healthy Food",images/qhopXZwD.jpg,images/qhopXZwD.jpg,"Salad, Continental, Healthy Food",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,250,45,50
119,           Biryani By Kilo         ,"Biryani, Mughlai, North Indian",images/aQKBnvUX.jpg,images/aQKBnvUX.jpg,"Biryani, Mughlai, North Indian",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,300,85,99
120,           The King of Pizza         ,"Fast Food, Burger",images/QDKFnJhe.jpg,images/QDKFnJhe.jpg,"Fast Food, Burger",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,45,50
121,           Dasaprakash         ,"South Indian, North Indian, Chinese, Continental",images/aFXCUfVU.jpg,images/aFXCUfVU.jpg,"South Indian, North Indian, Chinese, Continental",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,300,60,99
122,           The Postman Kitchen         ,North Indian,images/kxFUWush.jpg,images/kxFUWush.jpg,North Indian,                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,45,99
123,           Utsav@77         ,"Street Food, South Indian, North Indian",images/ZMdbMLMD.jpg,images/ZMdbMLMD.jpg,"Street Food, South Indian, North Indian",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,50,50
124,           Lunchly         ,"North Indian, Biryani",images/TwMCSFDp.jpg,images/TwMCSFDp.jpg,"North Indian, Biryani",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,250,55,99
125,           Veer Ji Malai Chaap Wale         ,"Rolls, North Indian, Chinese",images/YmnJWSMJ.jpg,images/YmnJWSMJ.jpg,"Rolls, North Indian, Chinese",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,250,45,50
126,           The Grill Cafe         ,"Fast Food, Wraps, Sandwich, Burger, Beverages",images/mBfARfvy.jpg,images/mBfARfvy.jpg,"Fast Food, Wraps, Sandwich, Burger, Beverages",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,100,30,50
127,           Food Perfecto         ,"Chinese, North Indian, Desserts",images/pyObcRyL.jpg,images/pyObcRyL.jpg,"Chinese, North Indian, Desserts",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,30,50
128,           Sandwich King         ,Fast Food,images/dMrFfuMX.jpg,images/dMrFfuMX.jpg,Fast Food,                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,60,99
129,           Thela001         ,"Chinese, Fast Food, North Indian",images/bohMimbE.jpg,images/bohMimbE.jpg,"Chinese, Fast Food, North Indian",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,50,99
130,           Behrouz Biryani         ,Biryani,images/RFsxLnMu.jpg,images/RFsxLnMu.jpg,Biryani,                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,350,45,50
131,           RollsKing         ,"Rolls, North Indian",images/jBfCfBer.jpg,images/jBfCfBer.jpg,"Rolls, North Indian",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,15,50
132,           Salad Days         ,"Healthy Food, Salad, Juices",images/gaEjFXVc.jpg,images/gaEjFXVc.jpg,"Healthy Food, Salad, Juices",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,400,45,50
133,           Biryani By Kilo         ,"Biryani, Mughlai, North Indian",images/UlQZuHDR.jpg,images/UlQZuHDR.jpg,"Biryani, Mughlai, North Indian",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,300,85,99
134,           The King of Pizza         ,"Fast Food, Burger",images/iFylPtNd.jpg,images/iFylPtNd.jpg,"Fast Food, Burger",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,45,50
135,           Dasaprakash         ,"South Indian, North Indian, Chinese, Continental",images/KqdLivIJ.jpg,images/KqdLivIJ.jpg,"South Indian, North Indian, Chinese, Continental",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,300,60,99
136,           The Postman Kitchen         ,North Indian,images/GcCGJAsA.jpg,images/GcCGJAsA.jpg,North Indian,                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,45,99
137,           Utsav@77         ,"Street Food, South Indian, North Indian",images/ozTPCHHB.jpg,images/ozTPCHHB.jpg,"Street Food, South Indian, North Indian",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,50,50
138,           Lunchly         ,"North Indian, Biryani",images/KbiShfiM.jpg,images/KbiShfiM.jpg,"North Indian, Biryani",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,250,55,99
139,           Veer Ji Malai Chaap Wale         ,"Rolls, North Indian, Chinese",images/lcUgJFER.jpg,images/lcUgJFER.jpg,"Rolls, North Indian, Chinese",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,250,45,50
140,           The Grill Cafe         ,"Fast Food, Wraps, Sandwich, Burger, Beverages",images/tMRwXcfE.jpg,images/tMRwXcfE.jpg,"Fast Food, Wraps, Sandwich, Burger, Beverages",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,100,30,50
