id,name,tag_line,logo,image,description,address,status,is_deleted,created_on,updated_on,closing_time,cost_for_two,delivery_time,minimum_order,opening_time
66,           Kachori Kulcha Darbar         ,"Street Food, North Indian",gnCMjIAk.jpg,gnCMjIAk.jpg,"Street Food, North Indian","                                                 Sector 49, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,100,50,50,7:00
67,           Om Sai Restaurant         ,"North Indian, Chinese, Fast Food",fGbHkfEV.jpg,fGbHkfEV.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 52, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,200,40,50,9:00
68,           Maa Ka Khaana         ,North Indian,dTZuUAMC.jpg,dTZuUAMC.jpg,North Indian,"                                                 Sector 72, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,100,45,50,10:00
69,           Subway         ,"Fast Food, Healthy Food, Sandwich, Salad",EBINANKf.jpg,EBINANKf.jpg,"Fast Food, Healthy Food, Sandwich, Salad","                                                 Sector 110, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,50,50,11:00
70,           Theos         ,"Cafe, Desserts, Continental, Beverages",MrUauZrS.jpg,MrUauZrS.jpg,"Cafe, Desserts, Continental, Beverages",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,450,30,50,10:00
71,           Pizzasia         ,Pizza,dsMHYmfZ.jpg,dsMHYmfZ.jpg,Pizza,"                                                 Sector 135, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,200,45,50,12:00
72,           Culinate         ,"Continental, Thai, Italian, Salad",IhEMYBKR.jpg,IhEMYBKR.jpg,"Continental, Thai, Italian, Salad","                                                 Sector 63, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,350,60,99,9:00
73,           Cafe 18         ,"Fast Food, Chinese, North Indian, Rolls, Momos, Beverages",MRCgYPQX.jpg,MRCgYPQX.jpg,"Fast Food, Chinese, North Indian, Rolls, Momos, Beverages","                                                 Sector 49, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,200,45,50,7:00
74,           Delish BBQ         ,"North Indian, Chinese, Momos",owkBlRcQ.jpg,owkBlRcQ.jpg,"North Indian, Chinese, Momos",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,200,45,99,10:00
75,           The Food Stories         ,"North Indian, Chinese, Fast Food",JqAmVBgF.jpg,JqAmVBgF.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 132, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,200,45,99,8:00
76,           Kachori Kulcha Darbar         ,"Street Food, North Indian",XnuitZMc.jpg,XnuitZMc.jpg,"Street Food, North Indian","                                                 Sector 50, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,3:00,100,50,50,11:00
77,           Om Sai Restaurant         ,"North Indian, Chinese, Fast Food",ckPANFXX.jpg,ckPANFXX.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 56, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,40,50,11:00
78,           Maa Ka Khaana         ,North Indian,DLTeWEQU.jpg,DLTeWEQU.jpg,North Indian,"                                                 Sector 18, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,100,45,50,8:00
79,           Subway         ,"Fast Food, Healthy Food, Sandwich, Salad",EzAMTXKd.jpg,EzAMTXKd.jpg,"Fast Food, Healthy Food, Sandwich, Salad","                                                 Sector 53, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,50,50,11:00
80,           Theos         ,"Cafe, Desserts, Continental, Beverages",leqeZBaT.jpg,leqeZBaT.jpg,"Cafe, Desserts, Continental, Beverages","                                                 Sector 110, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,450,30,50,9:00
81,           Pizzasia         ,Pizza,EvsgJLDC.jpg,EvsgJLDC.jpg,Pizza,"                                                 Sector 72, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,45,50,11:00
82,           Culinate         ,"Continental, Thai, Italian, Salad",XnuWggaj.jpg,XnuWggaj.jpg,"Continental, Thai, Italian, Salad","                                                 Sector 22, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,350,60,99,10:00
83,           Cafe 18         ,"Fast Food, Chinese, North Indian, Rolls, Momos, Beverages",jleRUqnq.jpg,jleRUqnq.jpg,"Fast Food, Chinese, North Indian, Rolls, Momos, Beverages","                                                 Sector 25, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,45,50,11:00
84,           Delish BBQ         ,"North Indian, Chinese, Momos",DVEgVPXs.jpg,DVEgVPXs.jpg,"North Indian, Chinese, Momos","                                                 Sector 49, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,200,45,99,11:00
85,           Home Cafe         ,"Bakery, North Indian, Chinese",eoPRQNwy.jpg,eoPRQNwy.jpg,"Bakery, North Indian, Chinese","                                                 Sector 63, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,150,45,99,10:00
86,           Choudhary Dhaba         ,North Indian,EvjONePv.jpg,EvjONePv.jpg,North Indian,"                                                 Sector 62, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,150,30,50,11:00
87,           Chaska 18         ,"Chinese, Rolls, North Indian, Fast Food, Momos, Beverages",pzhmMpxS.jpg,pzhmMpxS.jpg,"Chinese, Rolls, North Indian, Fast Food, Momos, Beverages","                                                 Sector 2, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,150,30,50,7:00
88,           Tossin Pizza         ,"Pizza, Italian",rBulSWzj.jpg,rBulSWzj.jpg,"Pizza, Italian","                                                 Sector 110, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,400,54,199,9:00
89,           Foodelicious         ,"North Indian, Chinese, Mughlai, Momos",xRnQQvwe.jpg,xRnQQvwe.jpg,"North Indian, Chinese, Mughlai, Momos","                                                 Sector 62, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,50,0,10:00
90,           Burger Singh         ,"Fast Food, Burger",jgTJNoZE.jpg,jgTJNoZE.jpg,"Fast Food, Burger","                                                 Sector 22, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,45,99,10:00
91,           Ayush Restaurant         ,"North Indian, Bakery",MNeziMgZ.jpg,MNeziMgZ.jpg,"North Indian, Bakery","                                                 Sector 25, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,35,99,11:00
92,           Chandni Chowk Ke Mashoor Paranthe         ,North Indian,UXfYPPrF.jpg,UXfYPPrF.jpg,North Indian,"                                                 Sector 49, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,50,45,50,11:00
93,           Wok N Biryani         ,"North Indian, Chinese, Fast Food",jPKMOfBg.jpg,jPKMOfBg.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 19, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,45,50,11:00
94,           Barfi         ,"North Indian, South Indian, Chinese, Street Food",PMrGwZJz.jpg,PMrGwZJz.jpg,"North Indian, South Indian, Chinese, Street Food","                                                 Sector 63, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,200,50,50,10:00
95,           Lip Lock         ,"North Indian, South Indian, Chinese, Street Food",hPawgGXD.jpg,hPawgGXD.jpg,"North Indian, South Indian, Chinese, Street Food","                                                 Sector 62, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,150,45,50,11:00
96,           KFC         ,"Burger, Fast Food",OiOtqkuy.jpg,OiOtqkuy.jpg,"Burger, Fast Food","                                                 Sector 62, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,30,50,11:00
97,           HealthBowl         ,"Fast Food, Healthy Food, Salad",MFKNlzTO.jpg,MFKNlzTO.jpg,"Fast Food, Healthy Food, Salad",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,200,45,50,10:00
98,           Thali 59         ,"North Indian, Mughlai, Chinese",NXwrRFLc.jpg,NXwrRFLc.jpg,"North Indian, Mughlai, Chinese","                                                 Sector 49, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,100,30,50,11:00
99,           Chanakya Food Street         ,"North Indian, Chinese, Fast Food",DwLdSblm.jpg,DwLdSblm.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 45, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,50,99,11:00
100,           Wat-a-Burger!         ,"Burger, Fast Food, Beverages",PlVMRmmo.jpg,PlVMRmmo.jpg,"Burger, Fast Food, Beverages","                                                 Sector 12, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,200,50,99,10:00
101,           Lumbini Food Point         ,"North Indian, Chinese",XXdmUolK.jpg,XXdmUolK.jpg,"North Indian, Chinese","                                                 Sector 41, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,30,99,10:00
102,           Petoo         ,"North Indian, Rolls, Chinese, Continental, Fast Food",PLJcLoCQ.jpg,PLJcLoCQ.jpg,"North Indian, Rolls, Chinese, Continental, Fast Food","                                                 Sector 127, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,45,50,11:00
103,           Malabar Junction         ,"Kerala, South Indian, North Indian, Chinese, Seafood, Desserts, Beverages",howllnaJ.jpg,howllnaJ.jpg,"Kerala, South Indian, North Indian, Chinese, Seafood, Desserts, Beverages",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,45,50,9:00
104,           Burger Singh         ,"Fast Food, Burger",FDvxqRXY.jpg,FDvxqRXY.jpg,"Fast Food, Burger",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,150,45,99,10:00
105,           Ayush Restaurant         ,"North Indian, Bakery",xNIveNmX.jpg,xNIveNmX.jpg,"North Indian, Bakery","                                                 Sector 110, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,35,99,8:00
106,           Chandni Chowk Ke Mashoor Paranthe         ,North Indian,OHjaOfSL.jpg,OHjaOfSL.jpg,North Indian,"                                                 Sector 12, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,50,45,50,10:00
107,           Wok N Biryani         ,"North Indian, Chinese, Fast Food",ENOLhmPO.jpg,ENOLhmPO.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 26, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,45,50,8:00
108,           Barfi         ,"North Indian, South Indian, Chinese, Street Food",dHwAYORV.jpg,dHwAYORV.jpg,"North Indian, South Indian, Chinese, Street Food","                                                 Sector 41, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,50,50,10:00
109,           Lip Lock         ,"North Indian, South Indian, Chinese, Street Food",KVKkqfyr.jpg,KVKkqfyr.jpg,"North Indian, South Indian, Chinese, Street Food","                                                 Sector 127, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,45,50,11:00
110,           KFC         ,"Burger, Fast Food",qKLprIqL.jpg,qKLprIqL.jpg,"Burger, Fast Food","                                                 Sector 63, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,200,30,50,11:00
111,           HealthBowl         ,"Fast Food, Healthy Food, Salad",RJcbdFfv.jpg,RJcbdFfv.jpg,"Fast Food, Healthy Food, Salad",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,45,50,11:00
112,           Thali 59         ,"North Indian, Mughlai, Chinese",gvBvfpfx.jpg,gvBvfpfx.jpg,"North Indian, Mughlai, Chinese",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,100,30,50,11:00
113,           Chanakya Food Street         ,"North Indian, Chinese, Fast Food",Pfmuotku.jpg,Pfmuotku.jpg,"North Indian, Chinese, Fast Food",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,50,99,11:00
114,           Wat-a-Burger!         ,"Burger, Fast Food, Beverages",fEdsAYuI.jpg,fEdsAYuI.jpg,"Burger, Fast Food, Beverages",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,50,99,11:00
115,           Lumbini Food Point         ,"North Indian, Chinese",DWxaSEwi.jpg,DWxaSEwi.jpg,"North Indian, Chinese",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,30,99,11:00
116,           Petoo         ,"North Indian, Rolls, Chinese, Continental, Fast Food",hjsuzSXI.jpg,hjsuzSXI.jpg,"North Indian, Rolls, Chinese, Continental, Fast Food",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,45,50,11:00
117,           Malabar Junction         ,"Kerala, South Indian, North Indian, Chinese, Seafood, Desserts, Beverages",HnoYGKKh.jpg,HnoYGKKh.jpg,"Kerala, South Indian, North Indian, Chinese, Seafood, Desserts, Beverages",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,45,50,11:00
118,           Leaf n Loaf         ,"Salad, Continental, Healthy Food",qhopXZwD.jpg,qhopXZwD.jpg,"Salad, Continental, Healthy Food",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,250,45,50,11:00
119,           Biryani By Kilo         ,"Biryani, Mughlai, North Indian",aQKBnvUX.jpg,aQKBnvUX.jpg,"Biryani, Mughlai, North Indian",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,300,85,99,11:00
120,           The King of Pizza         ,"Fast Food, Burger",QDKFnJhe.jpg,QDKFnJhe.jpg,"Fast Food, Burger",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,45,50,11:00
121,           Dasaprakash         ,"South Indian, North Indian, Chinese, Continental",aFXCUfVU.jpg,aFXCUfVU.jpg,"South Indian, North Indian, Chinese, Continental",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,300,60,99,11:00
122,           The Postman Kitchen         ,North Indian,kxFUWush.jpg,kxFUWush.jpg,North Indian,                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,45,99,11:00
123,           Utsav@77         ,"Street Food, South Indian, North Indian",ZMdbMLMD.jpg,ZMdbMLMD.jpg,"Street Food, South Indian, North Indian",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,50,50,11:00
124,           Lunchly         ,"North Indian, Biryani",TwMCSFDp.jpg,TwMCSFDp.jpg,"North Indian, Biryani",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,250,55,99,11:00
125,           Veer Ji Malai Chaap Wale         ,"Rolls, North Indian, Chinese",YmnJWSMJ.jpg,YmnJWSMJ.jpg,"Rolls, North Indian, Chinese",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,250,45,50,11:00
126,           The Grill Cafe         ,"Fast Food, Wraps, Sandwich, Burger, Beverages",mBfARfvy.jpg,mBfARfvy.jpg,"Fast Food, Wraps, Sandwich, Burger, Beverages",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,100,30,50,11:00
127,           Food Perfecto         ,"Chinese, North Indian, Desserts",pyObcRyL.jpg,pyObcRyL.jpg,"Chinese, North Indian, Desserts",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,30,50,11:00
128,           Sandwich King         ,Fast Food,dMrFfuMX.jpg,dMrFfuMX.jpg,Fast Food,                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,60,99,11:00
129,           Thela001         ,"Chinese, Fast Food, North Indian",bohMimbE.jpg,bohMimbE.jpg,"Chinese, Fast Food, North Indian",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,50,99,11:00
130,           Behrouz Biryani         ,Biryani,RFsxLnMu.jpg,RFsxLnMu.jpg,Biryani,                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,350,45,50,11:00
131,           RollsKing         ,"Rolls, North Indian",jBfCfBer.jpg,jBfCfBer.jpg,"Rolls, North Indian",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,15,50,11:00
132,           Salad Days         ,"Healthy Food, Salad, Juices",gaEjFXVc.jpg,gaEjFXVc.jpg,"Healthy Food, Salad, Juices",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,400,45,50,11:00
133,           Biryani By Kilo         ,"Biryani, Mughlai, North Indian",UlQZuHDR.jpg,UlQZuHDR.jpg,"Biryani, Mughlai, North Indian",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,300,85,99,11:00
134,           The King of Pizza         ,"Fast Food, Burger",iFylPtNd.jpg,iFylPtNd.jpg,"Fast Food, Burger",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,45,50,11:00
135,           Dasaprakash         ,"South Indian, North Indian, Chinese, Continental",KqdLivIJ.jpg,KqdLivIJ.jpg,"South Indian, North Indian, Chinese, Continental",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,300,60,99,11:00
136,           The Postman Kitchen         ,North Indian,GcCGJAsA.jpg,GcCGJAsA.jpg,North Indian,                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,45,99,11:00
137,           Utsav@77         ,"Street Food, South Indian, North Indian",ozTPCHHB.jpg,ozTPCHHB.jpg,"Street Food, South Indian, North Indian",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,50,50,11:00
138,           Lunchly         ,"North Indian, Biryani",KbiShfiM.jpg,KbiShfiM.jpg,"North Indian, Biryani",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,250,55,99,11:00
139,           Veer Ji Malai Chaap Wale         ,"Rolls, North Indian, Chinese",lcUgJFER.jpg,lcUgJFER.jpg,"Rolls, North Indian, Chinese",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,250,45,50,11:00
140,           The Grill Cafe         ,"Fast Food, Wraps, Sandwich, Burger, Beverages",tMRwXcfE.jpg,tMRwXcfE.jpg,"Fast Food, Wraps, Sandwich, Burger, Beverages",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,100,30,50,11:00
141,           Food Perfecto         ,"Chinese, North Indian, Desserts",NEkCYUCs.jpg,NEkCYUCs.jpg,"Chinese, North Indian, Desserts",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,30,50,11:00
142,           Sandwich King         ,Fast Food,olIFAiFZ.jpg,olIFAiFZ.jpg,Fast Food,                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,60,99,11:00
143,           Thela001         ,"Chinese, Fast Food, North Indian",nVjKvMGE.jpg,nVjKvMGE.jpg,"Chinese, Fast Food, North Indian",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,150,50,99,11:00
144,           Behrouz Biryani         ,Biryani,GaeonMxm.jpg,GaeonMxm.jpg,Biryani,                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,350,45,50,11:00
145,           RollsKing         ,"Rolls, North Indian",TCgZCmPX.jpg,TCgZCmPX.jpg,"Rolls, North Indian",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,15,50,11:00
