id,name,description,short_description,food_type,is_offer_active,is_variant,base_price,is_outof_stock,status,is_deleted,created_on,updated_on
63,Milk Coconut Cookies [200 grams],Milk Coconut Cookies [200 grams],Milk Coconut Cookies [200 grams],Vegetarian,True,False,100,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
64,Milk Badam Cookies [200 grams],Milk Badam Cookies [200 grams],Milk Badam Cookies [200 grams],Non-Vegetarian,True,False,100,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
65,Ajwain Butter Salt Cookies [200 grams],Ajwain Butter Salt Cookies [200 grams],Ajwain Butter Salt Cookies [200 grams],Non-Vegetarian,True,False,70,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
66,Kaju Pista Cookies [200 grams],Kaju Pista Cookies [200 grams],Kaju Pista Cookies [200 grams],Non-Vegetarian,True,False,100,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
67,Chocolate Kaju Cookies [200 grams],Chocolate Kaju Cookies [200 grams],Chocolate Kaju Cookies [200 grams],Non-Vegetarian,True,False,100,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
68,French Hearts [250 grams],French Hearts [250 grams],French Hearts [250 grams],Non-Vegetarian,True,False,80,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
69,Besan Khatai [200 grams],Besan Khatai [200 grams],Besan Khatai [200 grams],Vegetarian,True,False,70,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
70,Honey Oats Cookies [200 grams],Honey Oats Cookies [200 grams],Honey Oats Cookies [200 grams],Non-Vegetarian,True,False,100,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
71,Nankhatai [200 grams],Nankhatai [200 grams],Nankhatai [200 grams],Vegetarian,True,False,70,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
72,Coconut Khatai [200 grams],Coconut Khatai [200 grams],Coconut Khatai [200 grams],Vegetarian,True,False,70,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
73,Butter Jeera Cookies [200 grams],Butter Jeera Cookies [200 grams],Butter Jeera Cookies [200 grams],Vegetarian,True,False,70,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
74,Choco Chips Cookies [200 grams],Choco Chips Cookies [200 grams],Choco Chips Cookies [200 grams],Vegetarian,True,False,100,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
75,White Forest Cake,White Forest Cake,White Forest Cake,Non-Vegetarian,True,False,350,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
76,Black Forest Cake,Black Forest Cake,Black Forest Cake,Vegetarian,True,False,350,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
77,Blueberry Cake,Blueberry Cake,Blueberry Cake,Vegetarian,True,False,400,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
78,Choco Truffle Cake,Choco Truffle Cake,Choco Truffle Cake,Vegetarian,True,False,400,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
79,Choco Chip Cake,Choco Chip Cake,Choco Chip Cake,Vegetarian,True,False,400,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
80,Banana Walnut Dry Cake,Banana Walnut Dry Cake,Banana Walnut Dry Cake,Non-Vegetarian,True,False,170,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
81,Chocolate Lolipop,Chocolate Lolipop,Chocolate Lolipop,Non-Vegetarian,True,False,45,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
82,Pineapple Pastry [1 piece],Pineapple Pastry [1 piece],Pineapple Pastry [1 piece],Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
83,Black Forest Pastry [1 piece],Black Forest Pastry [1 piece],Black Forest Pastry [1 piece],Non-Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
84,Butter Scotch Pastry [1 piece],Butter Scotch Pastry [1 piece],Butter Scotch Pastry [1 piece],Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
85,Blueberry Pastry [1 piece],Blueberry Pastry [1 piece],Blueberry Pastry [1 piece],Non-Vegetarian,True,False,65,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
86,Choco Truffle Pastry [1 piece],Choco Truffle Pastry [1 piece],Choco Truffle Pastry [1 piece],Non-Vegetarian,True,False,75,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
87,Truffle Nuts Pudding [1 piece],Truffle Nuts Pudding [1 piece],Truffle Nuts Pudding [1 piece],Non-Vegetarian,True,False,45,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
88,Red Velvet Pastry [1 piece],Red Velvet Pastry [1 piece],Red Velvet Pastry [1 piece],Non-Vegetarian,True,False,90,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
89,Melting Brownie [1 piece],Melting Brownie [1 piece],Melting Brownie [1 piece],Vegetarian,True,False,45,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
90,Muddy Chocolate Roll [1 piece],Muddy Chocolate Roll [1 piece],Muddy Chocolate Roll [1 piece],Vegetarian,True,False,80,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
91,Brownie Lava [1 piece],Brownie Lava [1 piece],Brownie Lava [1 piece],Non-Vegetarian,True,False,100,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
92,Rainbow Pastry [1 piece],Rainbow Pastry [1 piece],Rainbow Pastry [1 piece],Vegetarian,True,False,75,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
93,Cake Rusk,Cake Rusk,Cake Rusk,Non-Vegetarian,True,False,100,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
94,Pao Bun,Pao Bun,Pao Bun,Vegetarian,True,False,30,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
95,Garlic Bread,Garlic Bread,Garlic Bread,Non-Vegetarian,True,False,40,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
96,Kulcha Bun,Kulcha Bun,Kulcha Bun,Vegetarian,True,False,30,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
97,Ajwain Puff [150 grams],Ajwain Puff [150 grams],Ajwain Puff [150 grams],Non-Vegetarian,True,False,60,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
98,Mix Veg Roll [1 piece],Mix Veg Roll [1 piece],Mix Veg Roll [1 piece],Non-Vegetarian,True,False,60,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
99,Cheese Burger [1 piece],Cheese Burger [1 piece],Cheese Burger [1 piece],Non-Vegetarian,True,False,60,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
100,Methi Twister,Methi Twister,Methi Twister,Non-Vegetarian,True,False,70,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
101,Aloo Patties [1 piece],Aloo Patties [1 piece],Aloo Patties [1 piece],Vegetarian,True,False,20,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
102,Paneer Patties [1 piece],Paneer Patties [1 piece],Paneer Patties [1 piece],Vegetarian,True,False,35,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
103,Mushroom Patties [1 piece],Mushroom Patties [1 piece],Mushroom Patties [1 piece],Vegetarian,True,False,30,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
104,Veg Sandwich [1 piece],Veg Sandwich [1 piece],Veg Sandwich [1 piece],Non-Vegetarian,True,False,35,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
105,Pizza Bite [1 piece],Pizza Bite [1 piece],Pizza Bite [1 piece],Vegetarian,True,False,45,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
106,Cream Roll [1 piece],Cream Roll [1 piece],Cream Roll [1 piece],Vegetarian,True,False,35,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
107,Doughnuts [1 piece],Doughnuts [1 piece],Doughnuts [1 piece],Non-Vegetarian,True,False,60,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
108,Gulab Jamun,Gulab Jamun,Gulab Jamun,Vegetarian,True,False,23,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
109,Jalebi,Jalebi,Jalebi,Vegetarian,True,False,110,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
110,Rajbhog,Rajbhog,Rajbhog,Vegetarian,True,False,31,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
111,Rasgulla,Rasgulla,Rasgulla,Non-Vegetarian,True,False,18,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
112,Rasmalai,Rasmalai,Rasmalai,Vegetarian,True,False,36,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
113,Bikaneri Burfi,Bikaneri Burfi,Bikaneri Burfi,Non-Vegetarian,True,False,130,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
114,Plain Burfi,Plain Burfi,Plain Burfi,Non-Vegetarian,True,False,110,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
115,Pista Burfi,Pista Burfi,Pista Burfi,Non-Vegetarian,True,False,130,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
116,Doda Burfi,Doda Burfi,Doda Burfi,Non-Vegetarian,True,False,112,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
117,Moong Dal Burfi,Moong Dal Burfi,Moong Dal Burfi,Non-Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
118,Coconut Burfi,Coconut Burfi,Coconut Burfi,Vegetarian,True,False,105,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
119,Kesar Coconut Burfi,Kesar Coconut Burfi,Kesar Coconut Burfi,Vegetarian,True,False,117,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
120,Chocolate Burfi,Chocolate Burfi,Chocolate Burfi,Non-Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
121,Choorma laddoo,Choorma laddoo,Choorma laddoo,Non-Vegetarian,True,False,130,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
122,Marwari laddoo,Marwari laddoo,Marwari laddoo,Non-Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
123,Jodhpuri Laddoo,Jodhpuri Laddoo,Jodhpuri Laddoo,Non-Vegetarian,True,False,115,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
124,Special Laddoo,Special Laddoo,Special Laddoo,Non-Vegetarian,True,False,110,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
125,Panjeeri Laddoo,Panjeeri Laddoo,Panjeeri Laddoo,Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
126,Besan Laddoo,Besan Laddoo,Besan Laddoo,Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
127,Milk Cake,Milk Cake,Milk Cake,Non-Vegetarian,True,False,130,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
128,White Peda,White Peda,White Peda,Vegetarian,True,False,112,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
129,Brown Peda,Brown Peda,Brown Peda,Non-Vegetarian,True,False,119,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
130,Kesar Peda,Kesar Peda,Kesar Peda,Non-Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
131,Khoya Badam Pakeeja,Khoya Badam Pakeeja,Khoya Badam Pakeeja,Non-Vegetarian,True,False,130,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
132,Moti Pak,Moti Pak,Moti Pak,Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
133,Gulab Jamun,Gulab Jamun,Gulab Jamun,Vegetarian,True,False,117,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
134,Kala Jamun,Kala Jamun,Kala Jamun,Non-Vegetarian,True,False,117,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
135,Kali Rasbhari,Kali Rasbhari,Kali Rasbhari,Non-Vegetarian,True,False,117,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
136,Kheer Kadam,Kheer Kadam,Kheer Kadam,Non-Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
137,Khoya Roll,Khoya Roll,Khoya Roll,Vegetarian,True,False,130,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
138,Kaju Burfi,Kaju Burfi,Kaju Burfi,Non-Vegetarian,True,False,199,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
139,Kaju Ghujia,Kaju Ghujia,Kaju Ghujia,Non-Vegetarian,True,False,260,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
140,Gajra Malai Chaap,Gajra Malai Chaap,Gajra Malai Chaap,Vegetarian,True,False,30,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
141,Badam Chaap,Badam Chaap,Badam Chaap,Non-Vegetarian,True,False,31,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
142,Anarkali,Anarkali,Anarkali,Vegetarian,True,False,31,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
143,Malai Rabdi,Malai Rabdi,Malai Rabdi,Vegetarian,True,False,138,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
144,Pista Chakra,Pista Chakra,Pista Chakra,Non-Vegetarian,True,False,31,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
145,Rasbhari,Rasbhari,Rasbhari,Vegetarian,True,False,97,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
146,Varmala,Varmala,Varmala,Vegetarian,True,False,31,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
147,Malai Chaap,Malai Chaap,Malai Chaap,Non-Vegetarian,True,False,31,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
148,Chena Toast,Chena Toast,Chena Toast,Vegetarian,True,False,117,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
149,Chenna Murki,Chenna Murki,Chenna Murki,Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
150,Kalakand,Kalakand,Kalakand,Non-Vegetarian,True,False,130,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
151,Ghujia,Ghujia,Ghujia,Vegetarian,True,False,130,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
152,Balushahi,Balushahi,Balushahi,Non-Vegetarian,True,False,117,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
153,Pinni,Pinni,Pinni,Non-Vegetarian,True,False,125,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
154,Patisa,Patisa,Patisa,Non-Vegetarian,True,False,107,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
155,Aloo Chips Masala,Aloo Chips Masala,Aloo Chips Masala,Non-Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
156,Aloo Chips Plain,Aloo Chips Plain,Aloo Chips Plain,Non-Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
157,Aloo Chips (Wafers),Aloo Chips (Wafers),Aloo Chips (Wafers),Non-Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
158,Navratan Mixture,Navratan Mixture,Navratan Mixture,Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
159,Aloo Lachcha Plain,Aloo Lachcha Plain,Aloo Lachcha Plain,Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
160,Plain Namakpara,Plain Namakpara,Plain Namakpara,Non-Vegetarian,True,False,85,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
161,Masala Namakpara,Masala Namakpara,Masala Namakpara,Non-Vegetarian,True,False,90,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
162,Methi Matthi,Methi Matthi,Methi Matthi,Vegetarian,True,False,90,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
163,Gol Matthi,Gol Matthi,Gol Matthi,Vegetarian,True,False,90,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
164,Tikoni Matthi,Tikoni Matthi,Tikoni Matthi,Non-Vegetarian,True,False,90,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
165,Dabbi Matthi,Dabbi Matthi,Dabbi Matthi,Non-Vegetarian,True,False,90,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
166,Palak Matthi,Palak Matthi,Palak Matthi,Vegetarian,True,False,90,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
167,Corn Flakes,Corn Flakes,Corn Flakes,Vegetarian,True,False,60,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
168,Moong Dal,Moong Dal,Moong Dal,Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
169,Chirwa Mixture,Chirwa Mixture,Chirwa Mixture,Non-Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
170,Masala Kaju,Masala Kaju,Masala Kaju,Vegetarian,True,False,270,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
171,Plain Salted Kaju,Plain Salted Kaju,Plain Salted Kaju,Vegetarian,True,False,260,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
172,Besan Papri,Besan Papri,Besan Papri,Non-Vegetarian,True,False,45,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
173,Ratlami Sev,Ratlami Sev,Ratlami Sev,Vegetarian,True,False,45,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
174,Bhavnagiri Sev,Bhavnagiri Sev,Bhavnagiri Sev,Non-Vegetarian,True,False,45,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
175,Bikaneria Bhujia,Bikaneria Bhujia,Bikaneria Bhujia,Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
176,Gujrati Mixture,Gujrati Mixture,Gujrati Mixture,Non-Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
177,Gathia,Gathia,Gathia,Vegetarian,True,False,45,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
178,Plain Bhujia,Plain Bhujia,Plain Bhujia,Vegetarian,True,False,50,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
179,2 Medium Pizzas at ₹199 each,2 Medium Pizzas at ₹199 each,2 Medium Pizzas at ₹199 each,Vegetarian,True,False,398,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
180,2 Medium Pizzas at ₹249 each,2 Medium Pizzas at ₹249 each,2 Medium Pizzas at ₹249 each,Vegetarian,True,False,498,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
181,2 Medium Pizzas at ₹299 each,2 Medium Pizzas at ₹299 each,2 Medium Pizzas at ₹299 each,Non-Vegetarian,True,False,598,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
182,2 Medium Pizzas at ₹399 each,2 Medium Pizzas at ₹399 each,2 Medium Pizzas at ₹399 each,Vegetarian,True,False,798,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
183,2 Regular Pizzas at ₹99 each,2 Regular Pizzas at ₹99 each,2 Regular Pizzas at ₹99 each,Non-Vegetarian,True,False,198,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
184,2 Regular Pizzas at ₹139 each,2 Regular Pizzas at ₹139 each,2 Regular Pizzas at ₹139 each,Vegetarian,True,False,278,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
185,2 Regular pizzas at ₹179 each,2 Regular pizzas at ₹179 each,2 Regular pizzas at ₹179 each,Vegetarian,True,False,358,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
186,2 Regular Pizzas at ₹219 each,2 Regular Pizzas at ₹219 each,2 Regular Pizzas at ₹219 each,Non-Vegetarian,True,False,438,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
187,Margherita,Margherita,Margherita,Non-Vegetarian,True,False,99,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
188,Farmhouse,Farmhouse,Farmhouse,Non-Vegetarian,True,False,205,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
189,Peppy Paneer,Peppy Paneer,Peppy Paneer,Vegetarian,True,False,205,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
190,Veg Extravaganza,Veg Extravaganza,Veg Extravaganza,Non-Vegetarian,True,False,235,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
191,Onion,Onion,Onion,Non-Vegetarian,True,False,59,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
192,2 Medium Pizzas at ₹199 each,2 Medium Pizzas at ₹199 each,2 Medium Pizzas at ₹199 each,Vegetarian,True,False,398,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
193,2 Medium Pizzas at ₹249 each,2 Medium Pizzas at ₹249 each,2 Medium Pizzas at ₹249 each,Non-Vegetarian,True,False,498,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
194,2 Medium Pizzas at ₹299 each,2 Medium Pizzas at ₹299 each,2 Medium Pizzas at ₹299 each,Vegetarian,True,False,598,False,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30
